eng,tha
deprived,ขาดแคลน
viewpoint,มุมมอง
lapse,ความล้มเหลว
impair,ทำให้เสียหาย
profound,significant
crucial,important
spurt,การพุ่ง
to some extent,ได้ถึงระดับหนึ่ง
catch up on,do sth you did not have time for earlier
adolescent,วัยรุ่น
plethora,(a) lot (of)
consequence,ผลลัพธ์
regulate,control
cease,stop
upheaval,violent = sudden disruption
puberty,วัยรุ่น
peculiar,แปลกประหลาด
borne out,confirmed
conducted,carry out = perform = execute = administer = ดำเนินการ
given short shrift,ignored
drop off,start
compromise,put sth in danger เสี่ยง = ประนีประนอม
halt,หยุดชะงัก
temporary,ชั่วคราว
supervision,การควบคุมดูแล
expectancy,ความคาดหวัง
anticipate,คาดการณ์
compliment,คำชม
complement,เสริม
redundant,ซ้ำซ้อน
exorbitant,มากเกินไป
rebel,กบฏ
cope,รับมือ
illustrate,อธิบายด้วยภาพ
optimistic,มองในแง่ดี
insist,ยืนกราน
frobade,ห้าม
fumble,ควานหา
mutter,บ่นพึมพำ
hestitate,ลังเล
pound,ทุบ
upright,ตั้งตรง
bolt,วิ่งหนี
gasp,หอบหายใจ
groan,คราง
shriek,กรีดร้อง
sigh,ถอนหายใจ
whine,คร่ำครวญ
compassionate,มีความเมตตา
gruesome,น่ากลัว
havrd-hitting,กระแทกแรง
nostalgic,คิดถึงอดีต
sentimental,อ่อนไหว
soothing,ที่ปลอบประโลม
infect,ติดเชื้อ
naval,เกี่ยวกับกองทัพเรือ
trench,สนามเพลาะ
warfare,การทำสงคราม
recur,เกิดขึ้นซ้ำ
tranquil,สงบ
blest,blessed
shed away,remove
glossary,ศัพท์เฉพาะ
knonk-kneed,เข่าชนกัน
hag,แม่มด
sludge,โคลน
distant,ห่างไกล
trudge,เดินฝ่าฟัน
limped,เดินกะโผลกกะเผลก
shod,สวมรองเท้า
wander,เดินเตร่
ecstasy,ความปิติยินดี
fumbling,งุ่มง่าม
stumbling,สะดุด
flound,ดิ้นรน
misty,มีหมอก
pane,บานหน้าต่าง
gutter,รางน้ำ
plunge,พุ่งลง
chock,สำลัก
smother,ทำให้หายใจไม่ออก
flung,ขว้าง
writhing,ดิ้นรน
gargle,กลั้วคอ
froth-corrupt,ฟองที่เน่าเสีย
incurable,รักษาไม่ได้
sore,เจ็บปวด
desperate,สิ้นหวัง
evoke,กระตุ้น
decode,ถอดรหัส
implication,นัย
involuntarily,โดยไม่ตั้งใจ
befit,เหมาะสม
confront,เผชิญหน้า
genuine,ของแท้
neglect,ละเลย
inadvertently,อย่างไม่ได้ตั้งใจ
protagonist,ตัวเอก
stumble across,พบโดยบังเอิญ
irrational,ไร้เหตุผล
rule out,ตัดออก
ineviably,อย่างหลีกเลี่ยงไม่ได้
astronomer,นักดาราศาสตร์
gratefully,อย่างขอบคุณ
duly,ตามสมควร
envisage,คาดการณ์
conventional,ตามธรรมเนียม
snag,อุปสรรค
bifurcate,แยกออกเป็นสองส่วน
twig,กิ่ง
bizarre,แปลกประหลาด
deliberately,อย่างตั้งใจ
outbreak,การระบาด
breakout,การหลบหนี
uprise,การลุกฮือ
showdown,การเผชิญหน้า
overthrow,การโค่นล้ม
breakdown,การพังทลาย
downfall,ความพินาศ
downpour,ฝนตกหนัก
prescribe,กำหนด
persecute,กดขี่
confer,มอบหมาย
drop-out,คนที่ออกกลางคัน
outlook,มุมมอง
cutback,การลดงบประมาณ
setback,อุปสรรค
mix-up,ความสับสน
upkeep,การบำรุงรักษา
upturn,การปรับตัวดีขึ้น
write-off,การตัดบัญชี
stand-off,การประจันหน้า
offshoot,สาขาย่อย
walkover,ชัยชนะง่าย ๆ
takeover,การเข้าควบกิจการ
takeaway,ข้อสรุป
getaway,การหลบหนี
break down,พังลง
fall down,ล้มลง
pour down,ฝนตกลงมา
drop out,ออกจาก
look out,ระวัง
put out,ดับไฟ
mix up,สับสน
keep up,รักษาระดับ
turn up,ปรากฏตัว
write off,ยกเลิก
standoff,ความตึงเครียด
shoot off,ยิงออกไป
overtake,แซง
pessimistic,มองในแง่ร้าย
flee,หลบหนี
oppressive,กดขี่
substantial,มากมาย
raft,แพ
glacier-hiking,การปีนธารน้ำแข็ง
fascinate,ดึงดูด
exhilarate,ทำให้ตื่นเต้น
trek,เดินทางไกล
altitude,ระดับความสูง
preparatory,เพื่อการเตรียมตัว
pilgrimage,การจาริกแสวงบุญ
expedition,การเดินทางสำรวจ
excursion,การทัศนศึกษา
brainchild,ความคิดริเริ่ม
versatile,อเนกประสงค์
faulty goods,สินค้าที่ชำรุด
overcharge,เรียกเก็บเงินเกิน
workmanship,ฝีมือการทำงาน
recipient,ผู้รับ
submerge,จมอยู่ใต้น้ำ
briskly,อย่างรวดเร็ว
hazardous,อันตราย
brusque,ห้วน
spoilt,เสีย
plumb,วัด
bland,จืดชืด
unbearable,ทนไม่ได้
surcharge,ค่าธรรมเนียมเพิ่มเติม
appalled,ตกใจ
periphrasis,การใช้คำอ้อม
euphemism,การใช้คำแทน
connotation,ความหมายโดยนัย
superdom,ความยิ่งใหญ่
semantic,เชิงความหมาย
obscene,ลามก = น่าบัดสี
sommelier,ผู้เชี่ยวชาญไวน์
culinary,เกี่ยวกับการทำอาหาร
galling,น่าหงุดหงิด
fume,ควัน
perception,การรับรู้
assess,ประเมิน
questionnaire,แบบสอบถาม
tally,การนับคะแนน
coin,สร้างคำ
aftertaste,รสชาติหลังกลืน
cape,แหลม
spectrum,ช่วงกว้าง
mildly,เล็กน้อย
fabulous,ยอดเยี่ยม
substler,ละเอียดอ่อน
dread,ความหวาดกลัว
simultaneously,ในเวลาเดียวกัน
the juny's out,ยังไม่มีข้อสรุป
brag,อวด
repulsive,น่ารังเกียจ
instance,ตัวอย่าง
deconstruct,แยกส่วน
ambience,บรรยากาศ
zero in,มุ่งเป้าไปที่
a mixed bag,สิ่งที่หลากหลาย
distinction,ความแตกต่าง
courgettes,ซูกินี
greasy,มันเยิ้ม
knob,ปุ่ม
sprig,กิ่ง
clove,กลีบ
casserole,หม้อตุ๋น
nostril,รูจมูก
fussy,จู้จี้
mercury,ปรอท
crave,อยาก
cookery,การทำอาหาร
habitual,เป็นนิสัย
deduct,หักออก
industrious,ขยัน
scruffy,รุงรัง
fedora,หมวกปีก
waistcoat,เสื้อกั๊ก
buckle,หัวเข็มขัด
collar,ปกเสื้อ
epaulettes,อินทรธนู
studs,กระดุม
cable-knit,ถักสาย
denim,ผ้าเดนิม
flowery,ลายดอกไม้
spotty,มีจุด
stripy,มีลายทาง
tartan,ลายสก็อต
bangle,กำไล
holdall,กระเป๋าถือ
speculative,เกี่ยวกับการคาดเดา
sleeve,แขนเสื้อ
publicity,การประชาสัมพันธ์
stunt,การแสดงผาดโผน
deduce,อนุมาน
oblige,บังคับ
particularly,โดยเฉพาะอย่างยิ่ง
metropolitan,ในเมืองใหญ่
refurbish,ปรับปรุงใหม่
sterile,ปลอดเชื้อ
venues,สถานที่จัดงาน
tendency,แนวโน้ม
somewhat,ค่อนข้าง
spectacular,น่าตื่นตาตื่นใจ
engross,ทำให้หมกมุ่น
concoction,ส่วนผสมที่คิดค้นขึ้น
soggy,เปียกแฉะ
sorbet,เชอร์เบท
bustling,พลุกพล่าน
cloying,หวานเลี่ยน
cramped,คับแคบ
attentive,เอาใจใส่
hearty,อบอุ่น
insubstantial,ไม่เพียงพอ
intimate,ใกล้ชิด
intrusive,รุกล้ำ
laid back,ผ่อนคลาย
sloppy,หย่อนยาน
stiff,แข็ง
swift,รวดเร็ว
tangy,มีรสเปรี้ยว
endure,อดทน
wholly,ทั้งหมด
poverty,ความยากจน
novella,นวนิยายขนาดสั้น
tragic,น่าเศร้า
migrant,ผู้อพยพ
terrier,พันธุ์สุนัขเทอร์เรียร์
rage,ความโกรธ
poised,เตรียมพร้อม
smash down,ทุบลง
terror,ความหวาดกลัว
bleat,ร้องเหมือนแกะ
cupped,ถือเป็นถ้วย
flop,ตกลง
shrunken,เหี่ยวแห้ง
bust,รูปปั้น
slung,สะพาย
premier,อันดับหนึ่ง
gloomy,มืดมน
granite,หินแกรนิต
deceptive,หลอกลวง
stodgy,หนักและจืดชืด
catapult,เหวี่ยง
linger,อ้อยอิ่ง
thrive,เจริญรุ่งเรือง
residual,ที่เหลือ
preconception,อคติ
flaw,ข้อบกพร่อง
derelict,ถูกทิ้งร้าง
capable,สามารถ
discursive,ฟุ้งซ่าน
overbear,ครอบงำ
tortuous,ซับซ้อน
dimly,อย่างสลัว
glimpse,มองเห็นแวบหนึ่ง
impressionable,อ่อนไหว
reconcile,ประนีประนอม
out of step,ไม่เข้ากัน
ruthlessly,อย่างไร้ความปรานี
pursue,ไล่ตาม
protract,ยืดเยื้อ
stark,ชัดเจน
ranch,ฟาร์มปศุสัตว์
terminally ill,ป่วยระยะสุดท้าย
salute,คำนับ
anguish,ความทุกข์ทรมาน
blunt,ทื่อ
misery,ความทุกข์
backstreet,ตรอกซอย
benevolent,มีความเมตตา
conceit,ความทะนงตัว
idyllic,เงียบสงบ
alchemist,นักเล่นแร่แปรธาตุ
crude,หยาบ
meteor,อุกกาบาต
drastic,รุนแรง
likelihood,ความน่าจะเป็น
prosecute,ดำเนินคดี
eradicate,กำจัด
congestion,ความแออัด
bald,หัวล้าน
exacerbate,ทำให้แย่ลง
deception,การหลอกลวง
exaggeration,การพูดเกินจริง
acquaint,ทำความคุ้นเคย
overhear,ได้ยินโดยบังเอิญ
fastidious,พิถีพิถัน
tempt,ล่อลวง
tolerant,อดทน
cordial,เป็นมิตร
grubby,สกปรก
deposit,เงินฝาก
decent,เหมาะสม
dire,ร้ายแรง
strait,ช่องแคบ
badge,ตราสัญลักษณ์
circulate,หมุนเวียน
counterpart,คู่เทียบ
compatible,ที่เข้ากันได้
selective,เลือกอย่างระมัดระวัง
letting agent,ตัวแทนปล่อยเช่า
tenant,ผู้เช่า
swallow,กลืน
uproar,ความวุ่นวาย
justify,ให้เหตุผล
whatover,อะไรก็ตาม
shudder,ตัวสั่น
faze,ทำให้ลำบากใจ
acquire,ได้รับ
wrestle,ต่อสู้
barb,หนาม
placid,สงบ
lash,เฆี่ยน
trodden,เหยียบ
bushland,พุ่มไม้
perilously,อย่างอันตราย
untether,ปลดปล่อย
cradle,เปล
leap,กระโดด
perceive,รับรู้
voyeuristic,ชอบสอดแนม
irrepressibly,อย่างไม่ย่อท้อ
ebullient,เต็มไปด้วยพลัง
condemn,ประณาม
gladiatorial,เหมือนนักสู้
virtually,เกือบทั้งหมด
agonize,เจ็บปวด
embody,แสดงให้เห็น
brash,โอ้อวด
portray,นำเสนอ
sophisticate,ซับซ้อน
enthusiasm,ความกระตือรือร้น
hatchet,ขวาน
intravenously,ผ่านทางเส้นเลือด
animosity,ความเกลียดชัง
courteous,สุภาพ
rational,มีเหตุผล
vital,สำคัญ
insurgent,กบฏ
occupy,ยึดครอง
siege,การล้อม
troop,กองทหาร
liberate,ปลดปล่อย
embrace,ยอมรับ
ally,พันธมิตร
disarm,ปลดอาวุธ
prevent,ป้องกัน
stalement,ทางตัน
inflict,สร้างความเสียหาย
persuade,โน้มน้าว
rhetorical,เกี่่ยวกับวามศิลป์
altruism,ความไม่เห็นแก่ตัว
amiability,ความเป็นมิตร
into the bargain,เป็นส่วนเสริม
naturalist,นักธรรมชาติวิทยา
autonomous learning,การเรียนรู้ด้วยตนเอง
burn your bridge,ตัดขาดคสพ
set your sight on sth,ตั้งเป้าหมาย
bury the hatchet,สงบศึก
jump the gun,ทำก่อนเวลา
drop a bombshell,เปิดเผยข่าวช็อก
stick to your guns,ยึดมั่นในความคิด
personnel,บุคลากร
abrasive,กัดกร่อน
abridge,shorten = limit
abrupt,happen or end unepectedlly
absolute,irrevocable = เด็ดขาด
absorbed,engrossed = ดื่มด่ำ
abstain,refrain = งดเว้น = ถอนตัว
abundant,plentiful
accede,comply with = consent to
accelerate,เร่งความเร็ว
accessible,obtainable
acclaim,applause
accommodate,furnish
accompany,go with as companion = ไปเป็นเพื่อน
accomplice,co-conspirator = ผู้สมรู้ร่วมคิด
accuse,blame
acrid,foul smelling = แหลมคม = ขมขื่น = กลิ่นเหม็น
adept,skilled
adequate,sufficient = เพียงพอ
adjacent,next to sth
adjoining,neighboring
adulterate,corrupt = debase = make impure = ทำให้ปนเปื้อน
advesary,enemy = foe
adverse,negative
affair,matter = เรื่องราว
affect,act upon
affiliate,มีคสพกัน = ยอมรับเข้าเป็นสมช
affix,fasten = แนบไปด้วย
affluence,abundance = wealth = prosperity
aggitate,stir up = disturb
alacrity,quickness and eagerness
alleviate,lessen
alliance,association
allocate,set aside = designate = assign
allowance,เงินค่างวด
allude,บอกเป็นนัย
ambiguous,กำกวม
amend,แก้ไข
ample,spacious = มากมาย
analogy,comparison
anecdote,เกร็ดเล็กเกร็ดน้อย
anguish,pain
antecedent,hostility = opposition = ความเกลียดชัง = การต่อต้าน = ancestor
antipathy,repugnance = ความเกลียดชัง
apparent,evident
abate,lessen
appoint,แต่งตั้ง
apposite,suitable = apt = ralevant
arable,suitable for plowing = เหมาะแก่การเพาะปลูก
arduous,laborious = difficult = strenuous
arid,parched = barren = แห้งแล้ง = ไร้จินตนาการ
aromantic,กลิ่นหอม
arrogant,conceited = หยิ่ง
artificial,synthetic
ascend,go up = mount = rise
aseptic,germ free = ปลอดเชื้อ
aspiration,ambition
assent,agree
assess,estimate
assumption,ข้อสันนิษฐาน
augment,เพิ่มขึ้น = สะสม
authentic,genuine
autocrat,ผู้นำเผด็จการ
barren,lifeless
bear,endure
bellow,roar
betray,turn against
bluff,หลอกตา
brevity,briefness
burst,ระเบิด
calamity,disaster
cessation,cease
chasm,abyss = เหว = รอยแยกลึก
chief,major = ชั้นนำ
choke,สำลัก
chronic,(โรค) เรื้อรัง
chronicle,จดบันทึกตามลำดับเวลา
circumspect,consider all circunstance
cluster,clump = แพ
coalition,รัฐบาลผสม
coarse,vulgar = rough = หยาบคาย
coerce,บังคับ
coginitive,capable of perception
coherent,เป็นเหตุเป็นผลกัน
colonist,settler
combat,counteract = ตอบโต้
commence,start
commiserate,express pity or sympathy
commodity,product
communal,เป็นเจ้าของร่วมกัน
compact,compress
compensation,restitution = การชดเชย
competence,ความสามารถ
compliant,comply = obey = yeild = ยอมเชื่อฟัง
comply,ยอมทำตาม
component,สปก
harmonious,compatible =  ไปด้วยกันได้
comprehensive,thorough
concede,ยอมสละตำแหน่ง
concentration,accumulation = การสะสมตัว
concise,brief = condensed
concurrent,เกิดพร้อมกัน = สอดคล้องกัน
confiscate,seize = ริบ
considerably,เป็นอย่างดี
consistently,regularly = เป็นประจำ
constrain,compel = restrain = force
contaminate,pollute
contemporary,ร่วมสมัย
comtempt,scorn = disrespect
contiguous,next to sth
contravene,act contrary to = oppose = contradict
correlate,นำมาสัมพันธ์กัน
corroborate,ยืนยันว่าเป็นจริง
coward,คนขี้ขลาด
craft,skilled
crawl,คลาน
curtail,shorten = limit
custom,ขนบธรรมเนียม
dearth,scarity = shortage = ความขาดแคลน
decay,rot = เน่า
deceive,หลอกลวง
denounce,condemn = ประณาม
depict,portray = describe
deplete,exhuast = ทำให้หมดไป
depreciate,ลดค่า
despair,utter hopelessness and despondency = ความหมดหวัง
determinate,strictly controlled
diffuse,verbose = spread out
disappear,vanish
disclose,reveal
discord,lack of harmony = disagreement
discriminate,distinguish = bias
dishonest,crooked
disparate,ไม่เหมือน ไม่เท่า
dispute,debate
dissolve,ละลาย
distinct,เด่น
dominated,prevail over = ชนะง่ายๆ
donate,bestow
drawback,จุดอ่อน
drought,prolong lack of rain
dubious,uncertain about outcome
durable,long lasting
dwell,reside
eccentric,ประหลาด
fiscal,การคลัง
elaborate,ซับซ้อน
eligible,มีสิทธิ์
emerge,ปรากฏ
eminent,มีชื่อเสียง
prominence,ความโดดเด่น
ethnic,เกี่ยวกับชาติพันธุ์
exceed,เกินกว่า
prevail over,มีชัยเหนือ
verbose,ใช้คำฟุ่มเฟือย
restrain,ยับยั้ง
scorn,ดูถูก
seize,ยึด
comply,ปฏิบัติตาม
yeild,ยอม
restitution,การคืนสิทธิ์
bestow,มอบ
firm,มั่นคง
intention,ความตั้งใจ
utter,พูด
indubitably,อย่างไม่ต้องสงสัย
scarcity,ความขาดแคลน
shortage,การขาด
validity,ความถูกต้อง
condense,ทำให้กระชับ
clump,จับกลุ่ม
faithful,ซื่อสัตย์
adhere,ยึดมั่น
vulgar,หยาบคาย
counteract,ต่อต้าน
mount,ติดตั้ง
apt,เหมาะสม
hostility,ความเป็นศัตรู
opposition,การคัดค้าน
spacious,กว้างขวาง
set aside,กันไว้
stir up,กระตุ้น
fasten,รัด
irrevocable,เปลี่ยนแปลงไม่ได้
plentiful,อุดมสมบูรณ์
furnish,ตกแต่ง
foul,สกปรก
corrupt,ทุจริต
debase,ทำให้เสื่อม
foe,ศัตรู
matter,เรื่อง
act upon,กระทำต่อ
prosperity,ความมั่งคั่ง
abyss,เหว
rot,เน่า
crooked,คดโกง
pertain,เกี่ยวข้อง
provoke,ยั่วยุ
call forth,กระตุ้น
striking,โดดเด่น
hasten,เร่ง
vanish,หายไป
docile,ว่านอนสอนง่าย
principle,หลักการ
poultry,สัตว์ปีก
thrift,ความประหยัด
expenditure,ค่าใช้จ่าย
vapor,ไอ
erratically,อย่างไม่แน่นอน
dismal,น่าเศร้า
divine,เกี่ยวกับพระเจ้า
sorrow,ความโศกเศร้า
expedite,เร่ง
explicit,ชัดเจน
extinct,สูญพันธุ์
extinguish,ดับ
faucet,ก๊อกน้ำ
feasible,เป็นไปได้
feast,งานเลี้ยง
feign,แสร้งทำ
fidelity,ความซื่อสัตย์
accuracy,ความแม่นยำ
finite,จำกัด
fluctuate,ผันผวน
forsake,ทอดทิ้ง
fowl,สัตว์ปีก
fragrance,กลิ่นหอม
frigid,หนาวเย็น
frugality,ความประหยัด
fugitive,ผู้หลบหนี
garment,เครื่องนุ่งห่ม
gauche,เงอะงะ
generic,ทั่วไป
genesis,ต้นกำเนิด
giggle,หัวเราะคิกคัก
glimmer,แสงริบหรี่
glittering,ระยิบระยับ
dismal,น่าเศร้า
grace,ความสง่างาม
grief,ความโศกเศร้า
grin,ยิ้ม
broadly,กว้าง
hamper,ขัดขวาง
interfere,แทรกแซง
handicapped,พิการ
haphazard,ตามยถากรรม
hardy,ทนทาน
sturdy,แข็งแรง
robust,แข็งแกร่ง
inclement,เลวร้าย
harness,ควบคุม
harsh,รุนแรง
cruel,โหดร้าย
stern,เข้มงวด
hastily,อย่างรีบเร่ง
haul,ลาก
hazardous,อันตราย
headstrong,หัวรั้น
willful,ดื้อรั้น
hectic,ยุ่งเหยิง
herd,ฝูงสัตว์
heritage,มรดก
hibernate,จำศีล
hierarchy,ลำดับชั้น
obstruct,ขัดขวาง
hindmost,ที่อยู่ข้างหลังสุด
hindrance,อุปสรรค
obstacle,สิ่งกีดขวาง
rear,ด้านหลัง
hollow,กลวง
homesteader,ผู้ตั้งถิ่นฐาน
repugnance,ความรังเกียจ
hospitality,การต้อนรับ
humanity,มนุษยชาติ
mankind,มนุษย์
humility,ความอ่อนน้อมถ่อมตน
modesty,ความเรียบง่าย
illegible,อ่านไม่ออก
imitate,เลียนแบบ
immerse,จุ่ม
immigrant,ผู้อพยพ
imminent,ใกล้จะเกิดขึ้น
exempt,ยกเว้น
impale,เสียบ
evenhanded,ยุติธรรม
impede,ขัดขวาง
imperil,ทำให้ตกอยู่ในอันตราย
endanger,ทำให้เสี่ยง
implement,ดำเนินการ
implicit,โดยนัย
inanimate,ไม่มีชีวิต
endow,บริจาค
dull,น่าเบื่อ
spiritless,ไร้ชีวิตชีวา
incipient,ในระยะเริ่มต้น
incline,เอียง
dispose,กำจัด
incompatible,ไม่เข้ากัน
incompetence,ความไร้ความสามารถ
inconsistent,ไม่สอดคล้อง
indigence,ความยากจน
indifferent,เฉยเมย
inept,ไม่เหมาะสม
inert,เฉื่อย
infer,อนุมาน
infertile,เป็นหมัน
inflation,เงินเฟ้อ
inhale,หายใจเข้า
retard,ชะลอ
prohibit,ห้าม
novelty,ของใหม่
insult,ดูถูก
intangible,ไม่มีตัวตน
immaterial,ไม่มีสาระสำคัญ
intermittent,เป็นช่วง ๆ
intervene,แทรกแซง
invoke,อ้อนวอน
entail,เกี่ยวข้อง
call upon,เรียกร้อง
irate,โกรธจัด
jeopardy,อันตราย
judicious,รอบคอบ
prudent,สุขุม
peril,อันตราย
juncture,จุดวิกฤต
jurisdiction,เขตอำนาจ
justly,อย่างยุติธรรม
rightfully,อย่างถูกต้อง
knead,นวด
lavish,ฟุ่มเฟือย
liberal,ใจกว้าง
profuse,มากมาย
limber,ยืดหยุ่น
pliant,อ่อนตัว
literacy,ความสามารถในการอ่านออกเขียนได้
lithe,อ่อนช้อย
pliable,ดัดง่าย
supple,ยืดหยุ่น
livid,โกรธจัด
bruised,ฟกช้ำ
lofty,สูงส่ง
lubricant,สารหล่อลื่น
lucid,ชัดเจน
friction,การเสียดทาน
lucrative,มีกำไร
luminous,สว่างไสว
luster,ความแวววาว
profitable,ทำกำไร
malefactor,ผู้กระทำผิด
malfeasance,การประพฤติมิชอบ
malleable,ดัดแปลงได้
mammoth,ใหญ่มหึมา
mandatory,ที่บังคับ
obligatory,ที่จำเป็น
compulsory,ที่บังคับ
mandate,คำสั่ง
manifest,ชัดเจน
manufacturer,ผู้ผลิต
marred,เสียหาย
marvelous,มหัศจรรย์
mature,มีวุฒิภาวะ
meager,น้อยนิด
scanty,ขาดแคลน
meander,คดเคี้ยว
habitat,ที่อยู่อาศัย
mimicry,การเลียนแบบ
imitation,การลอกเลียนแบบ
minatory,ขู่เข็ญ
menacing,ที่คุกคาม
miniature,ขนาดเล็ก
mirage,ภาพลวงตา
misadventure,อุบัติเหตุ
mischance,โชคร้าย
miser,คนขี้เหนียว
penny pincher,คนประหยัด
stingy,ขี้เหนียว
misplace,ทำหาย
mitigate,บรรเทา
mock,ล้อเลียน
moderation,ความพอประมาณ
modulate,ปรับแต่ง
damp,ชื้น
molten,หลอมละลาย
monarchy,ราชาธิปไตย
mores,ขนบธรรมเนียม
reproduce,สืบพันธุ์
muse,ครุ่นคิด
myriad,มากมาย
nebulous,คลุมเครือ
vague,ไม่ชัดเจน
negligent,ประมาท
negligible,เล็กน้อย
noisome,มีกลิ่นเหม็น
notion,ความคิด
notorious,ฉาวโฉ่
obedient,เชื่อฟัง
odor,กลิ่น
objective,เป้าหมาย
obliterate,ลบล้าง
bind,ผูก
obscure,ไม่ชัดเจน
obsolete,ล้าสมัย
outmoded,ล้าสมัย
obstinate,ดื้อรั้น
obtrude,บุกรุก
thrust,ผลัก
eject,ขับไล่
inhabit,อาศัยอยู่
odious,น่ารังเกียจ
offspring,ลูกหลาน
ominous,เป็นลางร้าย
omniscient,รอบรู้ทุกอย่าง
omnivorous,กินพืชและสัตว์
devour,ตะกละ
opulence,ความมั่งคั่ง
ordeal,ความลำบาก
ornate,หรูหรา
orthodox,ดั้งเดิม
outset,จุดเริ่มต้น
outskirts,ชานเมือง
outspoken,พูดตรง
fringe,ชายขอบ
outwit,ฉลาดกว่า
outsmart,ฉลาดกว่า
overstate,พูดเกินจริง
palatial,โอ่อ่า
magnificent,งดงาม
palliate,บรรเทา
panoramic,แบบพาโนรามา
denote,แสดง
unobstructed,ไม่ถูกขัดขวาง
comprehensive,ครอบคลุม
parable,นิทาน
paradigm,ตัวอย่าง
paradox,ความขัดแย้ง
seemingly,ดูเหมือนว่า
retain,เก็บรักษา
pariah,คนชายขอบ
outcast,คนไร้ค่า
parity,ความเสมอภาค
partial,บางส่วน
passive,เฉยเมย
submissive,ยอมจำนน
unassertive,ไม่แสดงออก
pasture,ทุ่งหญ้า
graze,เล็มหญ้า
patriot,ผู้รักชาติ
patron,ผู้อุปถัมภ์
paucity,ความขาดแคลน
payroll,บัญชีเงินเดือน
peculiar,แปลก
peevish,หงุดหงิด
temper,อารมณ์
irritable,โมโหง่าย
pensive,ครุ่นคิด
reflective,สะท้อนความคิด
contemplative,พิจารณา
percussion,เครื่องดนตรีประเภทตี
scent,กลิ่นหอม
peripheral,รอบนอก
perish,ตาย
marginal,ชายขอบ
outer,ด้านนอก
decay,การเน่าเปื่อย
permeable,ซึมผ่านได้
porous,ที่มีรูพรุน
permeate,แทรกซึม
perpetual,ถาวร
perquisite,สิทธิพิเศษ
perks,สิทธิพิเศษ
wage,ค่าแรง
persist,ยืนหยัด
steadfast,มั่นคง
persuade,ชักชวน
perusal,การอ่านพินิจพิเคราะห์
pervasive,แพร่หลาย
pessimism,การมองในแง่ร้าย
petty,เล็กน้อย
ideology,อุดมการณ์
abdicate,สละราชสมบัติ
aberration,ความผิดปกติ
norm,บรรทัดฐาน
abet,สนับสนุน
abhor,เกลียดชัง
abide,ยอมรับ
abase,ทำให้เสียเกียรติ